"assetType","slNo","customer","partName","partNo","revision","manufactureNo","manufactureYear","category","pressTonnage","mechNo","toolingLife","speed","model","cavityNo","incomingDate","location","size","weightKg","materialModel","thickness","materialWidthStep","ppepNo","blankingGap","designer","platingSupplier","productionFlowChart","firstSubmissionDate","designChangeDate","status","productPosition"
"Tooling","65","SumiRiko Eastern Rubber (Thailand) Ltd. (ESIE Plant)","Bracket","SB-075B-1-1","","","2024","Die casting","","1#","","","Die casting（2 Cav.）","1&2","","","","","","","","","","","","","15-02-2024","","Use","THAI"
"Tooling","66","SumiRiko Eastern Rubber (Thailand) Ltd. (ESIE Plant)","HEAT SHIELD","SB-070B-1","","23-TER020-1","2024","Progressive Tooling","150T","6#","","60","Progressive Tooling / （1 Cav.）","NO","","","","","JIS G3314 SA1E","0.8","240*216","","Unilateral / 0.07mm","LANK","","Stamping---Packaging","","","Use","THAI"
"Tooling","67","SumiRiko Eastern Rubber (Thailand) Ltd. (ESIE Plant)","HEAT SHIELD","SB-070B-1","","23-TER020-2","2024","Single Tooling","110T","9#","","25","Single Tooling（1 Cav.）","NO","","","","","","","5120","","Unilateral / 0.06mm","SHAOHS","","Stamping---Packaging","","","Use","THAI"
"Tooling","68","SumiRiko Eastern Rubber (Thailand) Ltd. (ESIE Plant)","HEAT SHIELD","SB-070B-1","","23-TER020-3","2024","Single Tooling","110T","9#","","20","Single Tooling（1 Cav.）","NO","","","","280","JIS G3314 SA1E","","","","","YANGRJ","","Stamping---Packaging","","","Use","THAI"
"Tooling","69","SumiRiko Eastern Rubber (Thailand) Ltd. (ESIE Plant)","HEAT SHIELD","SB-070B-1","","23-TER020-4","2024","Single Tooling","110T","9#","","20","Single Tooling（1 Cav.）","NO","","","","","","","","","","ZHangXN","","Stamping---Packaging","","","Use","THAI"
"Tooling","70","SumiRiko Eastern Rubber (Thailand) Ltd. (ESIE Plant)","HEAT SHIELD","SB-070B-1","","23-TER020-5","2024","Single Tooling","110T","9#","","20","Single Tooling（1 Cav.）","NO","","F1/F2-1","","280","JIS G3314 SA1E","","","","Unilateral / 0.08mm","ZHANGMY","","Stamping---sorting 100%---Packaging---Finished Product","22-03-2024","","Use","THAI"
"Tooling","71","STL","Lower Link","48187059","","D23TL148","2024","Progressive Tooling","110T","4#","","80","Progressive Tooling / （1 Cav.）","J","","","","","SPCC-4D","1","45*21","","Unilateral / 0.05mm","","","","","","Use","THAI"
"Tooling","72","STL","Magnet Lanced HT Valide","48187068#4","","D23TL018","2024","Progressive Tooling","110T","3#,1#","","60","Progressive Tooling / （2 Cav.）","1&2","","F1/A2-8","","242.8","SPCC-4D","2","68*12","","","","","","","","Use","THAI"
"Tooling","73","STL","Lock,Slide","48187086#2","","D23TL019","2024","Progressive Tooling","110T","3#","","60","Progressive Tooling / （2 Cav.）","1&2","","F1/A1-6","","261.5","SPCC-4D","1.5","44*25","","","","","","","","Use","THAI"
"Tooling","74","STL","Output Connector Steel","S1B13952","","D23TL140","2024","Progressive Tooling","110T","3#","","80","Progressive Tooling / （2 Cav.）","31&32","","","","","SPCC-SD","1.2","47*9","","Unilateral / 0.06mm","","","","","","Use","THAI"
