"no","partNumber","toolNumber","dwNumber","nameEn","specifications","material","quantityInStock","picture","minInventory","maxInventory"
"162","1160092","Q25.JS.072","87","Forming punch","38.0x29.0x113.0","Cr12MoV","2","spare-part-images/162-1160092-87.png","1","2"
"163","1160092","Q25.JS.072","88","Take off block","32.70x70.50x15.0","Cr12MoV","2","spare-part-images/163-1160092-88.png","1","2"
"164","1160092","Q25.JS.072","89","Take off block","32.70x70.50x15.0","Cr12MoV","1","spare-part-images/164-1160092-89.png","1","2"
"165","1160092","Q25.JS.072","90","Take off block","21.13x70.46x28.0","Cr12MoV","1","spare-part-images/165-1160092-90.png","1","2"
"166","1160092","Q25.JS.072","91","Take off block","21.13x70.46x28.0","Cr12MoV","1","spare-part-images/166-1160092-91.png","1","2"
"167","1160092","Q25.JS.072","93","Take off block","60.0x70.0x15.50","Cr12MoV","1","spare-part-images/167-1160092-93.png","1","2"
"168","1160092","Q25.JS.072","94","Take off block","60.0x70.0x15.50","Cr12MoV","1","spare-part-images/168-1160092-94.png","1","2"
"169","1160092","Q25.JS.072","97","Lower mold insert","13.0x36.0x30.0","Cr12MoV","1","spare-part-images/169-1160092-97.png","1","2"
"170","1160092","Q25.JS.072","98","Lower mold insert","37.0x42.0x30.0","Cr12MoV","1","spare-part-images/170-1160092-98.png","1","2"
"171","1160092","Q25.JS.072","99","Lower mold insert","37.0x42.0x30.0","Cr12MoV","1","spare-part-images/171-1160092-99.png","1","2"
"172","1160092","Q25.JS.072","100","Lower mold insert","37.0x42.0x30.0","Cr12MoV","1","spare-part-images/172-1160092-100.png","1","2"
"173","1160092","Q25.JS.072","101","Lower mold insert","30.75x71.0x46.30","Cr12MoV","1","spare-part-images/173-1160092-101.png","1","2"
"174","1160092","Q25.JS.072","102","Lower mold insert","30.75x71.0x46.30","Cr12MoV","1","spare-part-images/174-1160092-102.png","1","2"
"175","1160092","Q25.JS.072","103","Lower mold insert","32.70x20.50x42.0","Cr12MoV","1","spare-part-images/175-1160092-103.png","1","2"
"176","1160092","Q25.JS.072","104","Take off block","32.70x20.50x45.0","Cr12MoV","1","spare-part-images/176-1160092-104.png","1","2"
"177","1160092","Q25.JS.072","105","Lower mold insert","29.05x39.0x60.0","Cr12MoV","1","spare-part-images/177-1160092-105.png","1","2"
"178","1160092","Q25.JS.072","106","Lower mold insert","29.05x39.0x60.0","Cr12MoV","1","spare-part-images/178-1160092-106.png","1","2"
"179","1160092","Q25.JS.072","117","Lower mold insert","60.0x66.0x26.50","Cr12MoV","1","spare-part-images/179-1160092-117.png","1","2"
"180","1160092","Q25.JS.072","118","Lower mold insert","60.0x66.0x26.50","Cr12MoV","1","spare-part-images/180-1160092-118.png","1","2"
"181","1160092","Q25.JS.072","119","Punching punch","84.50x72.0x84.0","Cr12MoV","1","spare-part-images/181-1160092-119.png","1","2"
"182","1160092","Q25.JS.072","120","Punching punch","64.50x72.0x84.0","Cr12MoV","1","spare-part-images/182-1160092-120.png","1","2"
"183","1160092","Q25.JS.072","121","Punching punch","39.50x53.40x80.0","Cr12MoV","1","spare-part-images/183-1160092-121.png","1","2"
"184","1160092","Q25.JS.072","122","Punching punch","39.50x53.40x80.0","Cr12MoV","1","spare-part-images/184-1160092-122.png","1","2"
"185","1160092","Q25.JS.072","123","Punching punch","24.50x17.13x80.0","Cr12MoV","1","spare-part-images/185-1160092-123.png","1","2"
"186","1160092","Q25.JS.072","124","Punching punch","24.50x17.13x80.0","Cr12MoV","1","spare-part-images/186-1160092-124.png","1","2"
"187","1160092","Q25.JS.072","125","Punching punch","12.20x20.80x82.0","Cr12MoV","4","spare-part-images/187-1160092-125.png","1","2"
"188","1160092","Q25.JS.072","126","Punching punch","12.50x52.55x80.0","Cr12MoV","1","spare-part-images/188-1160092-126.png","1","2"
"189","1160092","Q25.JS.072","127","Punching punch","12.5x52.55x80.0","Cr12MoV","1","spare-part-images/189-1160092-127.png","1","2"
"190","1160092","Q25.JS.072","128","Forming punch","26.50x55.15x73.0","Cr12MoV","1","spare-part-images/190-1160092-128.png","1","2"
"191","1160092","Q25.JS.072","129","Punching punch","29.0x21.30x90.0","Cr12MoV","1","spare-part-images/191-1160092-129.png","1","2"
"192","1160092","Q25.JS.072","130","Punching punch","29.0x21.30x90.0","Cr12MoV","1","spare-part-images/192-1160092-130.png","1","2"
"193","1160092","Q25.JS.072","137","Lower mold insert","12.6x55.26x16.50","Cr12MoV","2","spare-part-images/193-1160092-137.png","1","2"
"194","1160092","Q25.JS.072","138","Lower mold insert","19.0x16.0x15.0","Cr12MoV","2","spare-part-images/194-1160092-138.png","1","2"
"195","1160092","Q25.JS.072","139","Lower mold insert","36.30x79.0x30.0","Cr12MoV","1","spare-part-images/195-1160092-139.png","1","2"
